id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
44,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
45,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
46,42 Draconis b,296,3.88 Jupiters,4.8262,2008
47,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
48,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
49,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,4.66 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
69,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
70,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
71,42 Draconis b,296,3.88 Jupiters,4.8262,2008
72,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
73,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
74,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,4.66 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
94,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
95,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
96,42 Draconis b,296,3.88 Jupiters,4.8262,2008
97,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
98,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
99,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
100,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
101,51 Eridani b,97,2 Jupiters,5.21149,2015
102,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
103,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
104,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
105,55 Cancri d,41,3.878 Jupiters,5.95084,2002
106,55 Cancri e,41,7.99 Earths,5.95084,2004
107,55 Cancri f,41,0.141 Jupiters,5.95084,2007
108,61 Virginis b,28,5.1 Earths,4.6955,2009
109,61 Virginis c,28,18.2 Earths,4.6955,2009
110,61 Virginis d,28,22.9 Earths,4.6955,2009
111,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
112,70 Virginis b,58,7.49 Jupiters,4.96808,1996
113,75 Ceti b,271,3 Jupiters,5.3532,2012
114,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
115,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
116,81 Ceti b,330,5.3 Jupiters,5.64307,2008
117,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
118,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
119,AB Aurigae b,529,9 Jupiters,7.076,2022
120,AB Pictoris b,163,13.5 Jupiters,9.13,2005
121,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
122,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
123,AU Microscopii b,32,20.12 Earths,8.81,2020
124,AU Microscopii c,32,9.6 Earths,8.81,2021
125,b Centauri AB b,320,10.9 Jupiters,4.01,2021
126,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
127,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
128,BD-06 1339 b,66,8.5 Earths,9.7,2013
129,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
130,BD-08 2823 b,135,12.7132 Earths,9.86,2009
131,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
132,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
133,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
134,BD-11 4672 c,89,15.37 Earths,10.03,2020
135,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
136,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
137,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
138,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
139,BD-17 63 b,112,5.1 Jupiters,9.62,2008
140,BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
141,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
142,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
143,BD+20 594 b,585,22.2481 Earths,10.849,2016
144,BD+45 564 b,175,1.36 Jupiters,9.67,2021
145,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
146,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
147,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
148,BD+55 362 b,171,0.72 Jupiters,9.38,2021
149,BD+60 1417 b,147,15 Jupiters,9.374,2021
150,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
151,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
152,Beta Pictoris b,64,11 Jupiters,3.85,2008
153,Beta Pictoris c,64,9 Jupiters,3.85,2019
154,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
155,CD Ceti b,28,3.95 Earths,13.95,2020
156,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
157,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
158,CHXR 73 b,621,12.569 Jupiters,17.2934,2006
159,CI Tauri b,515,11.6 Jupiters,13.642,2019
160,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
161,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
162,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
163,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
164,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
165,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
166,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
167,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
168,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
169,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
170,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
171,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
172,CoRoT-20 c,2753,17 Jupiters,14.63,2018
173,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
174,CoRoT-22 b,2046,12.2 Earths,13.82,2014
175,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
176,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
177,Beta Pictoris b,64,11 Jupiters,3.85,2008
178,Beta Pictoris c,64,9 Jupiters,3.85,2019
179,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
180,CD Ceti b,28,3.95 Earths,13.95,2020
181,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
182,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
183,CHXR 73 b,621,12.569 Jupiters,17.2934,2006
184,CI Tauri b,515,11.6 Jupiters,13.642,2019
185,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
186,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
187,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
188,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
189,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
190,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
191,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
192,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
193,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
194,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
195,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
196,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
197,CoRoT-20 c,2753,17 Jupiters,14.63,2018
198,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
199,CoRoT-22 b,2046,12.2 Earths,13.82,2014
200,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
201,CoRoT-24 b,1930,5.7 Earths,15.383,2014
202,CoRoT-24 c,1930,28 Earths,15.383,2014
203,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
204,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
205,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
206,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
207,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
208,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
209,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
210,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
211,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
212,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
213,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
214,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
215,CoRoT-7 b,522,4.07661 Earths,11.728,2009
216,CoRoT-7 c,522,8.4 Earths,11.728,2009
217,CoRoT-7 d,522,17.142 Earths,11.728,2022
218,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
219,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
220,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
221,CT Chamaleontis b,622,17 Jupiters,12.335,2007
222,DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
223,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
224,DH Tauri b,440,11 Jupiters,13.98,2004
225,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
226,CoRoT-24 b,1930,5.7 Earths,15.383,2014
227,CoRoT-24 c,1930,28 Earths,15.383,2014
228,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
229,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
230,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
231,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
232,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
233,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
234,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
235,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
236,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
237,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
238,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
239,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
240,CoRoT-7 b,522,4.07661 Earths,11.728,2009
241,CoRoT-7 c,522,8.4 Earths,11.728,2009
242,CoRoT-7 d,522,17.142 Earths,11.728,2022
243,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
244,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
245,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
246,CT Chamaleontis b,622,17 Jupiters,12.335,2007
247,DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
248,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
249,DH Tauri b,440,11 Jupiters,13.98,2004
